// StyleCategoryDef
дюнический; дюнические
имперский; имперские
техпанк; техпанки
технологичный; технологичные
старомодный; старомодные

// ThingDef
пользовательский высокий вертикальный флагшток; пользовательские высокие вертикальные флагштоки
пользовательский вертикальный флагшток; пользовательские вертикальные флагштоки
пользовательский высокий флагшток; пользовательские высокие флагштоки
пользовательский флагшток; пользовательские флагштоки
пользовательский настенный флаг; пользовательские настенные флаги
уличный фонарь; уличные фонари
факел; факелы
настенный факел; настенные факелы
стул; стулья
роскошная исследовательская полка; роскошные исследовательские полки
исследовательская полка; исследовательские полки
большая исследовательская полка; большие исследовательские полки
уютная красная кровать; уютные красные кровати
уютная зелёная кровать; уютные зелёные кровати
уютная синяя кровать; уютные синие кровати
уютная красная двойная кровать; уютные красные двойные кровати
уютная зелёная двойная кровать; уютные зелёные двойные кровати
уютная синяя двойная кровать; уютные синие двойные кровати
панель; панели
стоячий факел; стоячие факелы
пресованная тканевая стена; пресованные тканевые стены
электрический канделябр; электрические канделябры
угловой дверной проём; угловые дверные проёмы
большой дверной проём; большие дверные проёмы
дверной проём; дверные проёмы
дверной порог; дверные пороги
прямой порог; прямои порог
угловой порог; угловые пороги
непрочная стена; непрочные стены
двойная портальная космическая дверь (2x1); двойные портальные космические двери (2x1)
лазерная дверь (1x1); лазерные двери (1x1)
космическая дверь (1x1); космические двери (1x1)
раздвижная космическая дверь (1x1); раздвижные космические двери (1x1)
Откатная космическая дверь (1x1); Откатные космические двери (1x1)
градиентно скошенная космическая дверь (1x1); градиентно скошенная космическая дверь (1x1)
стрелочная космическая дверь (1x1); стрелочные космические двери (1x1)
скошенная космическая дверь (1x1); скошенные космические двери (1x1)
ирисовая космическая дверь (1x1); ирисовые космические двери (1x1)
улучшенная ирисовая космическая дверь (1x1); улучшенные ирисовые космические двери (1x1)
портальная космическая дверь (1x1); портальные космические двери (1x1)
двойная улучшенная ирисовая космическая дверь (2x1); двойные улучшенные ирисовые космические двери (2x1)
двойная ирисовая космическая дверь (2x1); двойные ирисовые космические двери (2x1)
двойная каскадная космическая дверь (2x1); двойные каскадные космические двери (2x1)
стеклянная стена с подсветкой; стеклянные стены с подсветкой
(Тревога) стеклянная стена с подсветкой; (Тревоги) стеклянные стена с подсветкой
голубая стеклянная стена с подсветкой; голубые стеклянные стены с подсветкой
(Тревога) голубая стеклянная стена с подсветкой; (Тревоги) голубые стеклянные стена с подсветкой
залёная стеклянная стена с подсветкой; залёные стеклянные стены с подсветкой
(Тревога) залёная стеклянная стена с подсветкой; (Тревоги) залёные стеклянные стена с подсветкой
жёлтая стеклянная стена с подсветкой; жёлтые стеклянные стены с подсветкой
(Тревога) жёлтая стеклянная стена с подсветкой; (Тревоги) жёлтые стеклянные стена с подсветкой
оранжевая стеклянная стена с подсветкой; оранжевые стеклянные стены с подсветкой
(Тревога) оранжевая стеклянная стена с подсветкой; (Тревоги) оранжевые стеклянные стена с подсветкой
красная стеклянная стена с подсветкой; красные стеклянные стены с подсветкой
(Тревога) красная стеклянная стена с подсветкой; (Тревоги) красные стеклянные стена с подсветкой
розовая стеклянная стена с подсветкой; розовые стеклянные стены с подсветкой
(Тревога) розовая стеклянная стена с подсветкой; (Тревоги) розовые стеклянные стена с подсветкой
фиолетовая стеклянная стена с подсветкой; фиолетовые стеклянные стены с подсветкой
(Тревога) фиолетовая стеклянная стена с подсветкой; (Тревоги) фиолетовые стеклянные стена с подсветкой
закруглённая стеклянная стена с подсветкой; закруглённые стеклянные стены с подсветкой
(Тревога) закруглённая стеклянная стена с подсветкой; (Тревоги) закруглённые стеклянные стена с подсветкой
закруглённая голубая стеклянная стена с подсветкой; закруглённые голубые стеклянные стены с подсветкой
(Тревога) закруглённая голубая стеклянная стена с подсветкой; (Тревоги) закруглённые голубые стеклянные стена с подсветкой
закруглённая залёная стеклянная стена с подсветкой; закруглённые залёные стеклянные стены с подсветкой
(Тревога) закруглённая залёная стеклянная стена с подсветкой; (Тревоги) закруглённые залёные стеклянные стена с подсветкой
закруглённая жёлтая стеклянная стена с подсветкой; закруглённые жёлтые стеклянные стены с подсветкой
(Тревога) закруглённая жёлтая стеклянная стена с подсветкой; (Тревоги) закруглённые жёлтые стеклянные стена с подсветкой
закруглённая оранжевая стеклянная стена с подсветкой; закруглённые оранжевые стеклянные стены с подсветкой
(Тревога) закруглённая оранжевая стеклянная стена с подсветкой; (Тревога) закруглённая оранжевая стеклянная стена с подсветкой
закруглённая красная стеклянная стена с подсветкой; закруглённые красные стеклянные стены с подсветкой
(Тревога) закруглённая красная стеклянная стена с подсветкой; (Тревоги) закруглённые красные стеклянные стена с подсветкой
закруглённая розовая стеклянная стена с подсветкой; закруглённые розовые стеклянные стены с подсветкой
(Тревога) закруглённая розовая стеклянная стена с подсветкой; (Тревоги) закруглённые розовые стеклянные стена с подсветкой
закруглённая фиолетовая стеклянная стена с подсветкой; закруглённые фиолетовые стеклянные стены с подсветкой
(Тревога) закруглённая фиолетовая стеклянная стена с подсветкой; (Тревоги) закруглённые фиолетовые стеклянные стена с подсветкой
верховный стол (2x2); верховные столы (2x2)
верховный стол (2x4); верховные столы (2x4)
стриженая живая изгородь; стриженые живые изгороди
приятная стена; приятные стены
стена с обоями; стены с обоями
лампа для чтения; лампы для чтения

